ticker,style,entry_date,entry_price,qty,exit_date,exit_price,exit_reason,stop_loss,take_profit,entry_atr,n_adds,result_eur,result_pct
UNH,VALUE,2024-12-16,482.8862,0.1172,2025-01-16,495.1727,value_trailing_stop,495.17265201735574,535.3103,17.4747,0,1.44,2.54
SYK,VALUE,2024-12-19,352.1822,0.1604,2025-01-16,372.7688,take_profit_atr,363.5759040762942,372.7688,6.8622,0,3.3,5.85
HD,VALUE,2024-12-18,374.7033,0.8964,2025-01-17,398.2338,take_profit_atr,385.99608485148696,398.23380000000003,7.8435,1,21.09,6.28
LOW,VALUE,2024-12-18,238.4405,1.4087,2025-01-17,254.2898,take_profit_atr,243.9384459972608,254.28979999999999,5.2831,1,22.33,6.65
NEE,VALUE,2025-01-13,64.5108,3.1634,2025-01-17,68.8032,take_profit_atr,66.33343200126536,68.8032,1.4308,0,13.58,6.65
D,VALUE,2024-12-12,50.0396,7.841899999999999,2025-01-21,53.288,take_profit_atr,51.27002372588675,53.288,1.0828,1,25.47,6.49
DHI,VALUE,2024-12-18,135.6179,0.00010000000000023068,2025-01-21,142.6857,value_trailing_stop,142.68566899334792,148.8635,4.4152,1,0.0,5.21
IR,VALUE,2025-01-07,88.3277,4.364,2025-01-21,94.4078,take_profit_atr,90.45571554802073,94.4078,2.0267,1,26.53,6.88
MMM,MOMENTUM,2025-01-17,137.1237,1.4972,2025-01-21,144.8778,take_profit_atr,139.3469808861306,144.8778,2.5847,0,11.61,5.65
ARM,VALUE,2024-10-23,142.4456,0.9278,2025-01-22,169.0382,value_trailing_stop,169.0382048828125,163.2083,6.9209,0,24.67,18.67
SO,VALUE,2024-12-11,77.6853,5.0139,2025-01-22,78.817,value_trailing_stop,78.81704986476879,81.5358,1.2835,1,5.67,1.46
AR,MOMENTUM,2024-12-30,37.778,13.8328,2025-01-22,41.3444,take_profit_atr,38.557998779296874,41.3444,1.1888,2,49.33,9.44
OTIS,VALUE,2025-01-07,88.9564,3.2772,2025-01-22,93.3478,take_profit_atr,90.48406442818528,93.3478,1.4638,1,14.39,4.94
LNG,MOMENTUM,2025-01-15,242.4855,0.8663,2025-01-22,241.2943,trailing_stop,241.2942723084156,257.7678,5.0941,0,-1.03,-0.49
VZ,VALUE,2025-01-06,35.3878,11.1384,2025-01-24,36.3869,value_trailing_stop,36.38691341014183,37.0714,0.5612,1,11.13,2.82
ISRG,MOMENTUM,2025-01-17,600.9187,0.7030000000000001,2025-01-24,580.2843,trailing_stop,580.28425,643.7775999999999,14.2863,1,-14.51,-3.43
ADI,VALUE,2024-12-20,207.7457,0.2611,2025-01-27,212.4328,value_trailing_stop,212.43275032706188,225.1304,5.7949,0,1.22,2.26
AVGO,MOMENTUM,2024-12-20,217.8256,0.2365,2025-01-27,218.172,trailing_stop,218.17200854272534,252.2236,11.466,0,0.08,0.16
CL,VALUE,2025-01-06,84.4495,0.0005999999999999479,2025-01-27,88.6459,take_profit_atr,85.86307913439714,88.6459,1.3988,0,0.0,4.97
PG,VALUE,2025-01-06,154.7338,2.4933,2025-01-27,161.7811,take_profit_atr,159.46658570900019,161.7811,2.3491,1,17.57,4.55
ETN,MOMENTUM,2025-01-22,364.4545,0.534,2025-01-27,349.8356,trailing_stop,349.8356453264594,389.8615,8.469,0,-7.81,-4.01
KMI,MOMENTUM,2025-01-22,28.9372,6.7258,2025-01-27,27.927,trailing_stop,27.92695261998896,30.7273,0.5967,0,-6.79,-3.49
KO,VALUE,2024-11-06,60.6594,0.00010000000000001189,2025-01-27,61.6006,EMA-50 abaixo de EMA-200 — tendência inv,57.8999,63.7641,1.0349,1,0.0,1.55
NVR,VALUE,2024-12-18,8067.6854,0.0712,2025-01-28,8177.4703,value_trailing_stop,8177.4702828125,8704.6748,212.3298,2,7.82,1.36
NET,MOMENTUM,2025-01-27,126.5016,1.2053,2025-01-28,129.7065,trailing_stop,129.7065,139.1538,4.2174,0,3.86,2.53
CMCSA,VALUE,2024-12-09,34.7889,0.00010000000000001211,2025-01-28,33.403,EMA-50 abaixo de EMA-200 — tendência inv,31.999499999999998,37.5783,0.9298,1,-0.0,-3.98
PHM,VALUE,2024-12-18,110.2002,0.0009000000000000037,2025-01-29,111.8006,value_trailing_stop,111.80057625988177,121.1673,3.6557,0,0.0,1.45
SYK,MOMENTUM,2025-01-21,391.262,0.5501,2025-01-29,382.8159,trailing_stop,382.8158602090088,413.5412,7.4264,0,-4.65,-2.16
CARR,VALUE,2025-01-23,68.6614,2.8131,2025-01-29,64.4416,stop_loss_atr,64.4416,72.8812,1.4066,0,-11.87,-6.15
IBM,VALUE,2024-12-20,214.9719,0.2523,2025-01-30,242.5917,value_trailing_stop,242.5916648285372,228.9423,4.6568,0,6.97,12.85
HOOD,MOMENTUM,2025-01-15,45.5714,4.0522,2025-01-30,53.3456,take_profit_atr,47.031498321533206,53.3456,2.5914,0,31.5,17.06
LVS,VALUE,2025-01-21,43.1564,11.9253,2025-01-31,44.4648,value_trailing_stop,44.46482935043944,47.2361,1.3599,1,15.6,3.03
CMG,VALUE,2025-01-21,56.0391,9.1838,2025-02-03,56.878,value_trailing_stop,56.87799969482422,60.0771,1.346,1,7.7,1.5
DE,MOMENTUM,2025-01-23,467.0642,0.4135,2025-02-03,451.9924,trailing_stop,451.9923582294314,498.1358,10.3572,0,-6.23,-3.23
COST,MOMENTUM,2025-01-27,957.7793,0.1592,2025-02-04,1009.643,take_profit_atr,972.9480438556128,1009.643,17.2879,0,8.26,5.41
EMR,MOMENTUM,2025-01-21,127.3008,4.0511,2025-02-05,122.1177,trailing_stop,122.11772662353266,135.3561,2.6851,1,-21.0,-4.07
META,MOMENTUM,2025-01-24,661.3264,0.7324999999999999,2025-02-05,713.1673,take_profit_atr,672.06952526588,713.1673000000001,17.2803,1,37.97,7.84
BSX,MOMENTUM,2025-02-04,103.5659,1.8482,2025-02-05,102.9275,trailing_stop,102.9274981689453,108.6569,1.697,0,-1.18,-0.62
HOLX,VALUE,2024-12-16,71.661,9.999999999997873e-05,2025-02-06,67.2435,stop_loss_atr,67.2435,76.8756,1.7382,1,-0.0,-6.16
JPM,MOMENTUM,2025-01-15,249.9241,2.0256,2025-02-06,264.2176,take_profit_atr,258.1215635723906,264.2176,4.7645,1,28.95,5.72
EQT,VALUE,2025-01-27,47.6279,3.1075,2025-02-06,52.5335,take_profit_atr,49.3567235634301,52.5335,1.6352,0,15.24,10.3
RBLX,MOMENTUM,2025-01-31,73.9787,6.2326,2025-02-06,70.3097,trailing_stop,70.30974786376953,80.495,2.1721,1,-22.87,-4.96
ROK,VALUE,2025-02-06,262.5586,2.0092,2025-02-10,289.6344,value_trailing_stop,289.63441700604875,280.7395,6.0603,1,54.4,10.31
AR,VALUE,2025-01-27,36.3591,3.6433,2025-02-11,40.5432,take_profit_atr,37.87059984741211,40.5432,1.3947,0,15.24,11.51
EXC,MOMENTUM,2025-01-28,38.097,4.2549,2025-02-11,40.4883,take_profit_atr,38.63002118782396,40.4883,0.7971,0,10.17,6.28
NFLX,MOMENTUM,2025-01-22,95.4229,2.0396,2025-02-14,105.0217,take_profit_atr,98.45099694824219,105.0217,3.1996,0,19.58,10.06
ORCL,VALUE,2025-01-27,156.1859,0.6824,2025-02-18,178.5233,take_profit_atr,164.89234948336602,178.5233,7.4458,0,15.24,14.3
SNOW,MOMENTUM,2025-01-27,175.5639,0.8685,2025-02-18,193.8243,take_profit_atr,179.18299389648436,193.8243,6.0868,0,15.86,10.4
MDT,MOMENTUM,2025-02-14,89.2658,2.515,2025-02-18,86.4328,trailing_stop,86.4328,93.5153,1.4165,0,-7.12,-3.17
BAC,MOMENTUM,2025-01-16,45.3393,4.677,2025-02-19,44.204,trailing_stop,44.20404170705736,48.2508,0.9705,0,-5.31,-2.5
TXN,VALUE,2025-01-27,179.1089,0.006699999999999988,2025-02-20,195.2282,take_profit_atr,186.260175733369,195.2282,5.3731,0,0.11,9.0
CDNS,VALUE,2025-01-27,276.3113,1.6585,2025-02-21,289.873,value_trailing_stop,289.8730146484375,306.33680000000004,10.0085,1,22.49,4.91
CEG,VALUE,2025-01-27,275.7922,1.3394,2025-02-21,287.5551,value_trailing_stop,287.5550785780761,335.1139,19.7739,1,15.76,4.27
TSM,VALUE,2025-01-27,189.2674,0.567,2025-02-21,193.6203,value_trailing_stop,193.62028594415685,216.1552,8.9626,0,2.47,2.3
OTIS,VALUE,2025-01-29,92.0252,1.7454,2025-02-21,97.2011,take_profit_atr,93.89628859618448,97.2011,1.7253,0,9.03,5.62
